Ref_number,Sample_number,Volcanic_zone,System,Eruption,Location,Phase,Phase_number,Point_number,Core_rim,Profile_distance,Pheno_xeno_nod_gm,Texture,Inclusion,Hostref,Machine,Lab,Analyst,Comment,Point,Date,Notes,SiO2,TiO2,Al203,Cr2O3,V2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,SO2,F,Cl,Total,SiO2_err,TiO2_err,Al2O3_err,Cr2O3_err,V2O3_err,Fe2O3_err,FeO_err,MnO_err,MgO_err,CaO_err,Na2O_err,K2O_err,P2O5_err,NiO_err,SO2_err,F_err,Cl_err,SiO2_dl,TiO2_dl,Al203_dl,Cr2O3_dl,V2O3_dl,Fe2O3_dl,FeO_dl,MnO_dl,MgO_dl,CaO_dl,Na2O_dl,K2O_dl,P2O5_dl,NiO_dl,SO2_dl,F_dl,Cl_dl,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol1,1,01/11/2013,0.0000,39.5430,0.0000,0.0558,0.0139,0.0000,0.0000,17.2642,0.2667,42.1629,0.2837,0.0000,0.0000,0.0000,0.1526,0.0000,0.0000,0.0000,99.7427,0.6001,0.0228,0.0039,0.0256,0.0000,0.0000,0.6356,0.0214,1.2712,0.0102,0.0000,0.0000,0.0000,0.0140,0.0000,0.0000,0.0000,245.0000,274.0000,4.0000,303.0000,0.0000,0.0000,1044.0000,20.0000,436.0000,67.0000,0.0000,0.0000,0.0000,148.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol1,2,01/11/2013,0.0000,39.5304,0.0177,0.0509,0.0123,0.0000,0.0000,16.9195,0.2711,41.8930,0.2888,0.0000,0.0000,0.0000,0.1657,0.0000,0.0000,0.0000,99.1492,0.6000,0.0224,0.0037,0.0257,0.0000,0.0000,0.6259,0.0207,1.2633,0.0101,0.0000,0.0000,0.0000,0.0134,0.0000,0.0000,0.0000,245.0000,264.0000,39.0000,304.0000,0.0000,0.0000,997.0000,194.0000,438.0000,64.0000,0.0000,0.0000,0.0000,139.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol1,3,01/11/2013,0.0000,39.4302,0.0230,0.0506,0.0210,0.0000,0.0000,16.9456,0.2655,41.8041,0.2829,0.0000,0.0000,0.0000,0.1549,0.0000,0.0000,0.0000,98.9777,0.5985,0.0231,0.0038,0.0259,0.0000,0.0000,0.6265,0.0212,1.2607,0.0102,0.0000,0.0000,0.0000,0.0139,0.0000,0.0000,0.0000,245.0000,271.0000,41.0000,302.0000,0.0000,0.0000,996.0000,199.0000,432.0000,66.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol2,4,01/11/2013,0.0000,39.6237,0.0109,0.0428,0.0227,0.0000,0.0000,16.9880,0.2818,42.1223,0.2746,0.0000,0.0000,0.0000,0.1507,0.0000,0.0000,0.0000,99.5176,0.6014,0.0228,0.0036,0.0257,0.0000,0.0000,0.6281,0.0207,1.2701,0.0097,0.0000,0.0000,0.0000,0.0134,0.0000,0.0000,0.0000,246.0000,272.0000,40.0000,300.0000,0.0000,0.0000,1023.0000,191.0000,438.0000,62.0000,0.0000,0.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol2,5,01/11/2013,0.0000,39.4426,0.0379,0.0422,0.0000,0.0000,0.0000,16.6416,0.2355,42.3042,0.2782,0.0000,0.0000,0.0000,0.1532,0.0000,0.0000,0.0000,99.1354,0.5986,0.0223,0.0038,0.0262,0.0000,0.0000,0.6172,0.0213,1.2755,0.0101,0.0000,0.0000,0.0000,0.0138,0.0000,0.0000,0.0000,24.0000,257.0000,41.0000,318.0000,0.0000,0.0000,976.0000,208.0000,433.0000,66.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol2,6,01/11/2013,0.0000,39.5010,0.0275,0.0480,0.0019,0.0000,0.0000,16.6696,0.2620,42.1784,0.2698,0.0000,0.0000,0.0000,0.1473,0.0000,0.0000,0.0000,99.1055,0.5995,0.0225,0.0038,0.0255,0.0000,0.0000,0.6186,0.0213,1.2717,0.0099,0.0000,0.0000,0.0000,0.0137,0.0000,0.0000,0.0000,245.0000,263.0000,41.0000,307.0000,0.0000,0.0000,1029.0000,201.0000,425.0000,65.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol3,7,01/11/2013,0.0000,38.8455,0.0246,0.0387,0.0091,0.0000,0.0000,20.3498,0.3047,39.1411,0.2680,0.0000,0.0000,0.0000,0.1180,0.0000,0.0000,0.0000,99.0994,0.5897,0.0229,0.0036,0.0254,0.0000,0.0000,0.7268,0.0215,1.1819,0.0097,0.0000,0.0000,0.0000,0.0130,0.0000,0.0000,0.0000,246.0000,269.0000,40.0000,302.0000,0.0000,0.0000,1092.0000,196.0000,41.0000,64.0000,0.0000,0.0000,0.0000,142.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol3,8,01/11/2013,0.0000,38.8472,0.0254,0.0422,0.0219,0.0000,0.0000,20.4893,0.2883,39.1415,0.2733,0.0000,0.0000,0.0000,0.1193,0.0000,0.0000,0.0000,99.2484,0.5896,0.0230,0.0037,0.0250,0.0000,0.0000,0.7300,0.0221,1.1818,0.0099,0.0000,0.0000,0.0000,0.0134,0.0000,0.0000,0.0000,244.0000,270.0000,41.0000,291.0000,0.0000,0.0000,108.0000,207.0000,420.0000,66.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol3,9,01/11/2013,0.0000,38.8138,0.0211,0.0408,0.0000,0.0000,0.0000,20.2018,0.3142,38.9653,0.2708,0.0000,0.0000,0.0000,0.1177,0.0000,0.0000,0.0000,98.7454,0.5892,0.0229,0.0038,0.0249,0.0000,0.0000,0.7233,0.0219,1.1768,0.0099,0.0000,0.0000,0.0000,0.0136,0.0000,0.0000,0.0000,246.0000,270.0000,41.0000,313.0000,0.0000,0.0000,1135.0000,196.0000,423.0000,66.0000,0.0000,0.0000,0.0000,148.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol4,10,31/10/2013,0.0000,38.5855,0.0018,0.0394,0.0000,0.0000,0.0000,20.2719,0.3171,39.7806,0.2715,0.0000,0.0000,0.0000,0.1388,0.0000,0.0000,0.0000,99.4066,0.4449,0.0226,0.0038,0.0253,0.0000,0.0000,0.8663,0.0261,0.6348,0.0109,0.0000,0.0000,0.0000,0.0144,0.0000,0.0000,0.0000,245.0000,271.0000,42.0000,305.0000,0.0000,0.0000,1094.0000,209.0000,432.0000,65.0000,0.0000,0.0000,0.0000,148.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol4,11,31/10/2013,0.0000,38.8066,0.0039,0.0399,0.0229,0.0000,0.0000,20.1427,0.3265,39.9312,0.2719,0.0000,0.0000,0.0000,0.1391,0.0000,0.0000,0.0000,99.6846,0.4469,0.0217,0.0036,0.0248,0.0000,0.0000,0.8552,0.0256,0.6351,0.0107,0.0000,0.0000,0.0000,0.0140,0.0000,0.0000,0.0000,238.0000,260.0000,40.0000,288.0000,0.0000,0.0000,1029.0000,200.0000,418.0000,62.0000,0.0000,0.0000,0.0000,143.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol4,12,31/10/2013,0.0000,38.7594,0.0175,0.0413,0.0128,0.0000,0.0000,20.2523,0.3053,40.0761,0.2748,0.0000,0.0000,0.0000,0.1310,0.0000,0.0000,0.0000,99.8705,0.4464,0.0218,0.0036,0.0253,0.0000,0.0000,0.8592,0.0250,0.6373,0.0107,0.0000,0.0000,0.0000,0.0139,0.0000,0.0000,0.0000,241.0000,258.0000,40.0000,299.0000,0.0000,0.0000,1015.0000,203.0000,423.0000,62.0000,0.0000,0.0000,0.0000,143.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol5,13,31/10/2013,0.0000,39.4943,0.0308,0.0503,0.0241,0.0000,0.0000,16.0287,0.2387,43.3058,0.2683,0.0000,0.0000,0.0000,0.1836,0.0000,0.0000,0.0000,99.6245,0.4551,0.0222,0.0038,0.0262,0.0000,0.0000,0.7069,0.0234,0.6864,0.0109,0.0000,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,248.0000,258.0000,41.0000,304.0000,0.0000,0.0000,1008.0000,209.0000,440.0000,65.0000,0.0000,0.0000,0.0000,147.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol5,14,31/10/2013,0.0000,39.7199,0.0277,0.0485,0.0052,0.0000,0.0000,15.7779,0.2494,43.6066,0.2670,0.0000,0.0000,0.0000,0.1798,0.0000,0.0000,0.0000,99.8823,0.4578,0.0226,0.0038,0.0261,0.0000,0.0000,0.6992,0.0234,0.6914,0.0108,0.0000,0.0000,0.0000,0.0152,0.0000,0.0000,0.0000,249.0000,264.0000,41.0000,312.0000,0.0000,0.0000,1009.0000,202.0000,437.0000,64.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol5,15,31/10/2013,0.0000,39.1386,0.0174,0.0502,0.0356,0.0000,0.0000,16.0359,0.2466,43.3114,0.2734,0.0000,0.0000,0.0000,0.1746,0.0000,0.0000,0.0000,99.2836,0.4507,0.0220,0.0037,0.0253,0.0000,0.0000,0.7022,0.0232,0.6850,0.0107,0.0000,0.0000,0.0000,0.0148,0.0000,0.0000,0.0000,243.0000,260.0000,40.0000,288.0000,0.0000,0.0000,947.0000,205.0000,423.0000,62.0000,0.0000,0.0000,0.0000,143.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol6,16,31/10/2013,0.0000,39.3219,0.0177,0.0495,0.0258,0.0000,0.0000,17.5189,0.2734,41.6987,0.2678,0.0000,0.0000,0.0000,0.1417,0.0000,0.0000,0.0000,99.3154,0.4527,0.0221,0.0038,0.0261,0.0000,0.0000,0.7572,0.0244,0.6609,0.0108,0.0000,0.0000,0.0000,0.0144,0.0000,0.0000,0.0000,239.0000,261.0000,41.0000,304.0000,0.0000,0.0000,1005.0000,207.0000,423.0000,65.0000,0.0000,0.0000,0.0000,147.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol6,17,31/10/2013,0.0000,39.1413,0.0051,0.0456,0.0270,0.0000,0.0000,17.7015,0.2955,41.7290,0.2719,0.0000,0.0000,0.0000,0.1548,0.0000,0.0000,0.0000,99.3718,0.4513,0.0223,0.0036,0.0266,0.0000,0.0000,0.7709,0.0244,0.6636,0.0107,0.0000,0.0000,0.0000,0.0142,0.0000,0.0000,0.0000,249.0000,266.0000,40.0000,308.0000,0.0000,0.0000,1040.0000,198.0000,432.0000,63.0000,0.0000,0.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
